T=68785	 X=-704	 Y=14644	 Z=4234
T=68785	 X=-1107	 Y=14531	 Z=4136
T=68785	 X=-1637	 Y=14410	 Z=3964
T=68785	 X=-1707	 Y=14342	 Z=3857
T=68785	 X=-1568	 Y=14341	 Z=3833
T=68785	 X=-1516	 Y=14306	 Z=3759
T=68785	 X=-1502	 Y=14259	 Z=3650
T=68785	 X=-912	 Y=14318	 Z=3804
T=68785	 X=-792	 Y=14245	 Z=3782
T=68785	 X=-646	 Y=14184	 Z=3792
T=68785	 X=-493	 Y=14138	 Z=3765
T=68785	 X=-309	 Y=14083	 Z=3777
T=68785	 X=-2	 Y=14058	 Z=3770
T=68785	 X=239	 Y=13978	 Z=3904
T=68785	 X=445	 Y=13928	 Z=3933
T=68785	 X=613	 Y=13852	 Z=3983
T=68786	 X=760	 Y=13767	 Z=4074
T=68786	 X=762	 Y=13682	 Z=4120
T=68786	 X=805	 Y=13617	 Z=4154
T=68786	 X=475	 Y=13507	 Z=4221
T=68786	 X=428	 Y=13424	 Z=4339
T=68786	 X=496	 Y=13359	 Z=4415
T=68786	 X=532	 Y=13343	 Z=4375
T=68786	 X=601	 Y=13271	 Z=4403
T=68786	 X=691	 Y=13212	 Z=4450
T=68786	 X=720	 Y=13238	 Z=4179
T=68786	 X=658	 Y=13141	 Z=4254
T=68786	 X=710	 Y=13079	 Z=4255
T=68786	 X=712	 Y=13067	 Z=4127
T=68786	 X=793	 Y=13028	 Z=4130
T=68786	 X=37	 Y=12718	 Z=4718
T=68786	 X=108	 Y=12609	 Z=4823
T=68786	 X=174	 Y=12498	 Z=4928
T=68787	 X=227	 Y=12393	 Z=5037
T=68787	 X=273	 Y=12276	 Z=5134
T=68787	 X=263	 Y=12174	 Z=5221
T=68787	 X=620	 Y=12364	 Z=4605
T=68787	 X=627	 Y=12296	 Z=4595
T=68787	 X=665	 Y=12236	 Z=4609
T=68787	 X=717	 Y=12173	 Z=4628
T=68787	 X=734	 Y=12093	 Z=4619
T=68787	 X=749	 Y=12017	 Z=4614
T=68787	 X=734	 Y=11901	 Z=4772
T=68787	 X=347	 Y=11410	 Z=6014
T=68787	 X=-472	 Y=11596	 Z=5038
T=68787	 X=-453	 Y=11508	 Z=5098
T=68787	 X=-425	 Y=11584	 Z=4734
T=68787	 X=-362	 Y=11524	 Z=4736
T=68787	 X=-254	 Y=11472	 Z=4758
T=68787	 X=-146	 Y=11431	 Z=4787
T=68787	 X=-21	 Y=11379	 Z=4816
T=68788	 X=-31	 Y=11290	 Z=4791
T=68788	 X=-60	 Y=11210	 Z=4766
T=68788	 X=18	 Y=11167	 Z=4782
T=68788	 X=83	 Y=11103	 Z=4789
T=68788	 X=168	 Y=11039	 Z=4802
T=68788	 X=303	 Y=10985	 Z=4831
T=68788	 X=348	 Y=10932	 Z=4836
T=68788	 X=445	 Y=10871	 Z=4853
T=68788	 X=435	 Y=10801	 Z=4835
T=68788	 X=484	 Y=10713	 Z=4826
T=68788	 X=557	 Y=10618	 Z=4822
T=68788	 X=580	 Y=10530	 Z=4807
T=68788	 X=616	 Y=10450	 Z=4799
T=68788	 X=615	 Y=10368	 Z=4779
T=68788	 X=597	 Y=10268	 Z=4746
T=68788	 X=622	 Y=10189	 Z=4736
T=68788	 X=834	 Y=10390	 Z=3967
T=68788	 X=778	 Y=10425	 Z=4028
T=68789	 X=771	 Y=10431	 Z=4032
T=68789	 X=756	 Y=10438	 Z=4017
T=68789	 X=729	 Y=10419	 Z=3973
T=68789	 X=670	 Y=10375	 Z=3913
T=68789	 X=596	 Y=10321	 Z=3851
T=68789	 X=575	 Y=10264	 Z=3800
T=68789	 X=615	 Y=10195	 Z=3763
T=68789	 X=698	 Y=10108	 Z=3737
T=68789	 X=766	 Y=10036	 Z=3707
T=68789	 X=770	 Y=9957	 Z=3661
T=68789	 X=792	 Y=9889	 Z=3618
T=68789	 X=664	 Y=9873	 Z=3525
T=68789	 X=564	 Y=9842	 Z=3440
T=68789	 X=555	 Y=9810	 Z=3383
T=68789	 X=565	 Y=9751	 Z=3347
T=68789	 X=592	 Y=9676	 Z=3318
T=68789	 X=562	 Y=9589	 Z=3264
T=68789	 X=585	 Y=9505	 Z=3226
T=68789	 X=582	 Y=9408	 Z=3178
T=68790	 X=649	 Y=9318	 Z=3156
T=68790	 X=669	 Y=9225	 Z=3114
T=68790	 X=700	 Y=9124	 Z=3079
T=68790	 X=745	 Y=9027	 Z=3049
T=68790	 X=802	 Y=8926	 Z=3024
T=68790	 X=853	 Y=8830	 Z=2994
T=68790	 X=921	 Y=8722	 Z=2976
T=68790	 X=1016	 Y=8603	 Z=2972
T=68790	 X=1083	 Y=8485	 Z=2949
T=68790	 X=1211	 Y=8362	 Z=2956
T=68790	 X=1343	 Y=8232	 Z=2962
T=68790	 X=1428	 Y=8098	 Z=2942
T=68790	 X=1506	 Y=7968	 Z=2919
T=68790	 X=1580	 Y=7833	 Z=2896
T=68790	 X=1619	 Y=7701	 Z=2856
T=68790	 X=1620	 Y=7564	 Z=2802
T=68790	 X=1684	 Y=7425	 Z=2777
T=68790	 X=1710	 Y=7284	 Z=2737
T=68790	 X=1704	 Y=7143	 Z=2684
T=68791	 X=1707	 Y=6997	 Z=2637
T=68791	 X=1683	 Y=6847	 Z=2582
T=68791	 X=1610	 Y=6689	 Z=2513
T=68791	 X=1563	 Y=6530	 Z=2454
T=68791	 X=1525	 Y=6364	 Z=2400
T=68791	 X=1498	 Y=6200	 Z=2348
T=68791	 X=1487	 Y=6034	 Z=2303
T=68791	 X=1482	 Y=5865	 Z=2260
T=68791	 X=1473	 Y=5693	 Z=2216
T=68791	 X=1472	 Y=5522	 Z=2173
T=68791	 X=1484	 Y=5341	 Z=2143
T=68791	 X=1507	 Y=5159	 Z=2116
T=68791	 X=1522	 Y=4977	 Z=2081
T=68791	 X=1546	 Y=4794	 Z=2047
T=68791	 X=1552	 Y=4606	 Z=2009
T=68791	 X=1588	 Y=4418	 Z=1976
T=68791	 X=1639	 Y=4231	 Z=1942
T=68791	 X=1657	 Y=4040	 Z=1908
T=68791	 X=4619	 Y=7697	 Z=-7593
T=68792	 X=1639	 Y=7431	 Z=1792
T=68792	 X=1260	 Y=7664	 Z=2839
T=68792	 X=921	 Y=7785	 Z=3457
T=68792	 X=778	 Y=7831	 Z=3811
T=68792	 X=696	 Y=7843	 Z=3984
T=68792	 X=678	 Y=7837	 Z=4078
T=68792	 X=676	 Y=7836	 Z=4127
T=68792	 X=699	 Y=7812	 Z=4173
T=68792	 X=663	 Y=7778	 Z=4144
T=68792	 X=652	 Y=7759	 Z=4354
T=68792	 X=536	 Y=7706	 Z=4408
T=68792	 X=1037	 Y=7887	 Z=4789
T=68792	 X=1533	 Y=8026	 Z=5187
T=68792	 X=1753	 Y=8052	 Z=5287
T=68792	 X=1509	 Y=7959	 Z=5022
T=68793	 X=1362	 Y=7901	 Z=4925
T=68793	 X=1190	 Y=7878	 Z=4792
T=68793	 X=1072	 Y=7891	 Z=4683
T=68793	 X=974	 Y=7909	 Z=4620
T=68793	 X=931	 Y=7942	 Z=4517
T=68793	 X=868	 Y=7941	 Z=4436
T=68793	 X=829	 Y=7939	 Z=4363
T=68793	 X=766	 Y=7948	 Z=4307
T=68793	 X=727	 Y=7932	 Z=4240
T=68793	 X=650	 Y=7912	 Z=4214
T=68793	 X=530	 Y=7895	 Z=4147
T=68793	 X=449	 Y=7887	 Z=4129
T=68793	 X=423	 Y=7885	 Z=4089
T=68793	 X=383	 Y=7884	 Z=4097
T=68793	 X=375	 Y=7892	 Z=4081
T=68793	 X=402	 Y=7901	 Z=4115
T=68794	 X=411	 Y=7906	 Z=4149
T=68794	 X=427	 Y=7909	 Z=4159
T=68794	 X=449	 Y=7907	 Z=4144
T=68794	 X=450	 Y=7913	 Z=4147
T=68794	 X=383	 Y=7913	 Z=4128
T=68794	 X=408	 Y=7949	 Z=4113
T=68794	 X=428	 Y=7975	 Z=4101
T=68794	 X=457	 Y=8007	 Z=4088
T=68794	 X=507	 Y=8030	 Z=4101
T=68794	 X=532	 Y=8043	 Z=4125
T=68794	 X=513	 Y=8041	 Z=4135
T=68794	 X=458	 Y=8063	 Z=4136
T=68794	 X=417	 Y=8094	 Z=4146
T=68794	 X=363	 Y=8075	 Z=4160
T=68794	 X=322	 Y=8079	 Z=4174
T=68795	 X=443	 Y=8168	 Z=4463
T=68795	 X=412	 Y=8187	 Z=4448
T=68795	 X=436	 Y=8187	 Z=4426
T=68795	 X=531	 Y=8205	 Z=4419
T=68795	 X=680	 Y=8225	 Z=4472
T=68795	 X=811	 Y=8294	 Z=4517
T=68795	 X=928	 Y=8337	 Z=4574
T=68795	 X=981	 Y=8384	 Z=4609
T=68795	 X=1032	 Y=8433	 Z=4619
T=68795	 X=1021	 Y=8475	 Z=4592
T=68795	 X=1033	 Y=8524	 Z=4616
T=68795	 X=1125	 Y=8656	 Z=4799
T=68795	 X=1468	 Y=8812	 Z=5086
T=68795	 X=2347	 Y=9038	 Z=5608
T=68795	 X=2553	 Y=9081	 Z=5598
T=68795	 X=2748	 Y=9119	 Z=5626
T=68796	 X=2682	 Y=9176	 Z=5624
